"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"90","Tyler Toffoli","S.J","C","59","979.56666666667","23","17","7","10","40","61.54","167","13.77","20.37","301","233","175","77","12","32","12","6","6","0","0","15","42","16","39","29","25","9","8","52.94"
"149","Dougie Hamilton","N.J","D","62","1241.8166666667","9","31","14","17","40","41.24","182","4.95","10.86","412","271","138","15","20","41","28","14","14","0","0","7","91","20","72","65","79","0","0","-"
"666","Dmitri Voronkov","CBJ","L","51","891.25","20","20","11","9","40","57.97","112","17.86","20.37","182","162","124","89","4","29","41","15","13","1","1","3","40","7","42","28","35","22","30","42.31"
"698","Jake Sanderson","OTT","D","59","1447.35","6","34","16","18","40","57.14","139","4.32","6.11","307","193","82","5","13","17","10","5","5","0","0","7","71","44","33","143","129","0","0","-"
"702","Anton Lundell","FLA","C","61","1022.6833333333","14","26","17","9","40","78.43","117","11.97","13.76","228","172","100","51","11","13","26","9","8","0","1","13","43","22","94","66","44","423","397","51.59"
"17","Claude Giroux","OTT","R","60","1131.8833333333","12","27","16","11","39","63.93","116","10.34","11.23","188","158","84","33","9","7","16","8","8","0","0","9","52","14","50","26","27","475","291","62.01"
"42","John Carlson","WSH","D","61","1452.3166666667","4","35","20","15","39","39.80","128","3.13","7.58","313","201","94","13","14","25","18","9","9","0","0","7","92","21","39","66","100","0","0","-"
"127","Vincent Trocheck","NYR","C","61","1295.8166666667","17","22","12","10","39","52.70","158","10.76","21.88","287","243","186","88","8","24","38","16","14","2","0","18","65","29","171","74","66","696","468","59.79"
"276","Sam Bennett","FLA","C","60","1029.2833333333","19","20","14","6","39","60.94","194","9.79","21.65","333","267","193","94","6","31","69","26","22","3","1","20","35","22","124","35","39","377","422","47.18"
"280","Kevin Fiala","L.A","L","58","1088.5166666667","24","15","7","8","39","68.42","177","13.56","19.12","378","291","175","61","13","22","34","16","16","0","0","9","61","24","39","65","20","13","18","41.94"
"293","Ivan Barbashev","VGK","C","50","844.95","18","21","14","7","39","75.00","84","21.43","12.77","169","133","121","69","4","18","8","4","4","0","0","10","59","16","88","43","29","7","13","35.00"
"338","Timo Meier","N.J","R","61","1063.9166666667","16","23","13","10","39","70.91","176","9.09","22.63","383","282","201","87","13","40","52","15","11","2","2","15","56","14","98","86","49","7","13","35.00"
"416","Jakob Chychrun","WSH","D","56","1180.6833333333","17","22","13","9","39","46.99","132","12.88","8.49","339","221","118","8","9","20","36","18","18","0","0","9","66","25","39","93","70","0","0","-"
"440","Mikhail Sergachev","UTA","D","56","1430.15","11","28","13","15","39","45.35","96","11.46","6.09","266","165","81","7","9","22","20","10","10","0","0","5","89","24","32","63","108","0","0","-"
"20","Jamie Benn","DAL","L","60","937.73333333333","15","23","14","9","38","66.67","106","14.15","15.14","201","153","120","70","10","20","60","22","19","2","1","10","42","9","83","56","37","231","181","56.07"
"26","Patrick Kane","DET","R","50","881.05","15","23","11","12","38","66.67","114","13.16","11.57","225","168","109","32","7","17","8","4","4","0","0","8","52","10","12","16","11","3","5","37.50"
"43","Roman Josi","NSH","D","53","1326.7166666667","9","29","19","10","38","51.35","150","6.00","11.36","368","234","123","27","11","24","18","9","9","0","0","8","75","23","42","57","95","0","0","-"
"58","Brayden Schenn","STL","C","62","1087.7","12","26","16","10","38","61.29","110","10.91","14.35","215","165","125","54","6","20","48","18","14","4","0","12","40","10","155","50","36","456","449","50.39"
"86","Mats Zuccarello","MIN","R","48","934.91666666667","13","25","15","10","38","61.29","101","12.87","10.3","201","152","99","34","5","25","16","8","8","0","0","17","49","18","18","33","32","12","13","48.00"
"102","Jaden Schwartz","SEA","C","61","1108.0333333333","19","18","9","9","37","56.06","143","13.29","19.08","265","214","146","86","11","29","20","10","10","0","0","8","42","33","38","62","32","19","25","43.18"
"142","Ryan Nugent-Hopkins","EDM","C","59","1119.9333333333","16","21","15","6","37","52.11","115","13.91","16.46","215","165","144","78","4","17","22","11","11","0","0","5","39","23","17","42","39","167","170","49.55"
"331","Pavel Zacha","BOS","C","62","1201.3166666667","12","25","14","11","37","53.62","107","11.21","16","200","159","141","66","9","10","19","8","7","1","0","9","45","18","38","35","20","296","262","53.05"
"385","Conor Garland","VAN","R","60","1130.3333333333","16","21","12","9","37","57.81","131","12.21","15.63","255","194","131","60","8","24","31","14","13","1","0","24","49","16","36","76","39","4","8","33.33"
"512","Neal Pionk","WPG","D","61","1355.5","9","28","17","11","37","43.02","110","8.18","4.78","269","191","52","5","8","22","44","18","17","0","1","4","65","28","102","133","91","0","0","-"
"650","Pavel Dorofeyev","VGK","L","60","984.61666666667","24","13","7","6","37","58.73","177","13.56","18.87","299","243","177","61","9","30","20","10","10","0","0","10","36","15","20","63","30","3","13","18.75"
"717","Cole Perfetti","WPG","C","61","921.5","12","25","13","12","37","62.71","104","11.54","14.46","203","160","115","45","2","18","14","7","7","0","0","8","38","14","53","64","39","15","40","27.27"
"847","Adam Fantilli","CBJ","C","60","1060.6166666667","18","19","11","8","37","66.07","134","13.43","13.95","285","199","121","45","11","20","14","7","7","0","0","16","70","19","83","77","45","319","441","41.97"
"54","Ryan O'Reilly","NSH","C","57","1077.8666666667","14","22","13","9","36","55.38","112","12.50","19.99","198","172","153","87","5","19","11","4","3","1","0","7","42","21","16","35","52","546","415","56.82"
"228","Oliver Bjorkstrand","SEA","R","60","927.15","16","20","17","3","36","69.23","123","13.01","11.52","237","171","105","46","6","19","14","4","2","2","0","7","54","21","59","54","15","2","5","28.57"
"351","Brock Boeser","VAN","R","53","945.11666666667","18","18","8","10","36","60.00","105","17.14","13.7","224","158","131","50","7","23","16","7","7","0","0","5","29","15","54","18","22","8","23","25.81"
"624","Moritz Seider","DET","D","60","1515.9666666667","5","31","11","20","36","41.86","119","4.20","7.67","270","183","63","11","11","15","30","15","15","0","0","12","66","23","160","73","135","0","0","-"
"827","Shane Wright","SEA","C","58","789.26666666667","13","23","13","10","36","64.29","59","22.03","10.49","134","102","85","52","3","9","16","8","8","0","0","10","55","12","44","55","45","258","307","45.66"
