"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"28","Tristan Jarry","PIT","22","1252.0833333333","597","528","69","0.884","3.31","-10.10","57.32","151","115","36","0.762","1.73","-7.41","162","139","23","0.858","1.10","-2.94","255","245","10","0.961","0.48","0.55","54","108","36.16","18.61"
"48","Ivan Fedotov","PHI","18","1002.3","443","391","52","0.883","3.11","-8.29","44.07","104","83","21","0.798","1.26","-1.31","128","106","22","0.828","1.32","-6.15","182","173","9","0.951","0.54","-1.47","39","92","36.98","22.56"
"34","Vitek Vanecek","S.J","18","972.98333333333","533","470","63","0.882","3.88","-10.42","53.38","137","107","30","0.781","1.85","-4.06","138","114","24","0.826","1.48","-6.91","235","226","9","0.962","0.55","0.72","33","108","35.74","19.97"
"50","Connor Ingram","UTA","22","1210.1166666667","559","493","66","0.882","3.27","-10.85","59","133","106","27","0.797","1.34","-1.82","140","119","21","0.850","1.04","-3.67","248","231","17","0.931","0.84","-6.74","29","109","37.98","23.06"
"61","Daniil Tarasov","CBJ","15","905.01666666667","452","398","54","0.881","3.58","-9.41","47.17","130","100","30","0.769","1.99","-5.39","109","93","16","0.853","1.06","-2.50","199","191","8","0.960","0.53","0.23","33","97","33.94","19.70"
"21","Matt Murray","TOR","2","118.65","58","51","7","0.879","3.54","-1.28","4.55","9","7","2","0.778","1.01","-0.30","24","20","4","0.833","2.02","-1.03","25","24","1","0.960","0.51","0.03","6","9","34.59","24.00"
"73","Trent Miner","COL","2","91.633333333333","33","29","4","0.879","2.62","-0.74","2.33","6","4","2","0.667","1.31","-0.86","9","7","2","0.778","1.31","-0.89","15","15","0","1.000","0.00","0.62","3","5","47.15","22.75"
"64","Alexandar Georgiev","COL, S.J","35","1891.7","927","814","113","0.878","3.58","-21.54","98.77","269","210","59","0.781","1.87","-8.07","258","229","29","0.888","0.92","2.94","359","334","25","0.930","0.79","-10.15","79","182","32.81","19.28"
"93","Dennis Hildeby","TOR","6","360.81666666667","157","137","20","0.873","3.33","-4.51","15.74","35","27","8","0.771","1.33","-1.37","47","38","9","0.809","1.50","-3.18","66","63","3","0.955","0.50","-0.27","9","32","35.65","23.65"
"65","Jakub Skarek","NYI","2","76.15","39","34","5","0.872","3.94","-1.15","3.5","10","6","4","0.600","3.15","-2.11","11","11","0","1.000","0.00","1.36","18","17","1","0.944","0.79","-0.26","1","10","31.67","15.80"
"82","Devon Levi","BUF","9","480.63333333333","258","225","33","0.872","4.12","-7.55","24.68","63","46","17","0.730","2.12","-5.07","76","64","12","0.842","1.50","-2.59","102","98","4","0.961","0.50","0.22","23","48","36.97","20.48"
"46","Ales Stezka","SEA","1","58.333333333333","23","20","3","0.870","3.09","-0.73","2.31","8","7","1","0.875","1.03","0.51","6","4","2","0.667","2.06","-1.26","8","8","0","1.000","0.00","0.33","0","1","32.52","19.00"
"88","Aleksei Kolosov","PHI","15","783.1","347","302","45","0.870","3.45","-10.77","36.42","93","67","26","0.720","1.99","-8.39","92","81","11","0.880","0.84","0.39","145","137","8","0.945","0.61","-2.00","30","73","33.54","17.69"
"13","Philipp Grubauer","SEA","21","1159.4","552","478","74","0.866","3.83","-19.54","55.38","138","107","31","0.775","1.60","-4.87","149","124","25","0.832","1.29","-6.55","245","227","18","0.927","0.93","-7.87","36","104","34.71","21.04"
"38","Ville Husso","DET","9","438.81666666667","202","175","27","0.866","3.69","-7.07","17.15","44","33","11","0.750","1.50","-2.67","42","38","4","0.905","0.55","1.20","101","89","12","0.881","1.64","-7.82","12","31","38.48","24.07"
"76","Arturs Silovs","VAN","9","482.51666666667","219","188","31","0.858","3.85","-9.39","20.47","59","44","15","0.746","1.87","-3.83","48","36","12","0.750","1.49","-6.06","103","99","4","0.961","0.50","0.26","13","36","34.46","19.45"
"86","Sebastian Cossa","DET","1","45","14","12","2","0.857","2.67","-0.62","1.55","5","3","2","0.600","2.67","-1.05","3","3","0","1.000","0.00","0.37","5","5","0","1.000","0.00","0.21","1","3","38.86","8.50"
"94","Yaniv Perets","CAR","1","8.2","7","6","1","0.857","7.32","-0.31","0.81","4","4","0","1.000","0.00","0.76","1","0","1","0.000","7.32","-0.88","2","2","0","1.000","0.00","0.08","0","1","20.43","25.00"
"30","Spencer Martin","CAR","9","415.98333333333","175","148","27","0.846","3.89","-9.73","20.71","53","40","13","0.755","1.88","-2.96","46","39","7","0.848","1.01","-1.30","68","61","7","0.897","1.01","-4.19","12","26","31.50","22.11"
"80","Drew Commesso","CHI","2","71.35","26","22","4","0.846","3.36","-1.43","3.7","6","3","3","0.500","2.52","-1.86","8","7","1","0.875","0.84","-0.01","9","9","0","1.000","0.00","0.37","5","9","38.73","14.50"
"87","Jesper Wallstedt","MIN","2","117.43333333333","51","43","8","0.843","4.09","-2.97","4.61","11","8","3","0.727","1.53","-0.92","14","10","4","0.714","2.04","-2.27","25","24","1","0.960","0.51","0.03","3","12","33.25","24.38"
"60","Cayden Primeau","MTL","11","523.7","250","209","41","0.836","4.70","-16.34","30.31","77","60","17","0.779","1.95","-2.42","82","67","15","0.817","1.72","-4.85","80","71","9","0.888","1.03","-5.69","27","47","32.71","21.46"
"31","Pheonix Copley","L.A","1","27.483333333333","12","10","2","0.833","4.37","-0.82","0.91","5","4","1","0.800","2.18","-0.05","1","1","0","1.000","0.00","0.12","4","3","1","0.750","2.18","-0.83","1","1","42.58","25.50"
"39","Kaapo Kahkonen","COL","1","58.266666666667","20","16","4","0.800","4.12","-2.03","2.52","5","3","2","0.600","2.06","-1.05","3","1","2","0.333","2.06","-1.63","9","9","0","1.000","0.00","0.37","4","5","46.70","17.25"
"74","Mads Sogaard","OTT","2","91.55","40","32","8","0.800","5.24","-4.05","5.32","14","11","3","0.786","1.97","-0.35","9","5","4","0.556","2.62","-2.89","15","14","1","0.933","0.66","-0.38","4","10","34.10","21.63"
"92","Nikke Kokko","SEA","1","29.95","6","4","2","0.667","4.01","-1.41","0.49","1","0","1","0.000","2.00","-0.81","4","3","1","0.750","2.00","-0.50","1","1","0","1.000","0.00","0.04","0","0","31.33","16.00"
