"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"137","Nolan Allan","CHI","D","43","650.51666666667","1","7","3","4","8","38.10","17","5.88","1.01","64","33","22","6","5","3","16","8","8","0","0","0","22","8","61","93","48","0","0","-"
"176","Nick Blankenburg","NSH","D","38","704.88333333333","3","5","3","2","8","24.24","54","5.56","4.48","118","78","43","13","7","17","14","7","7","0","0","5","33","11","36","78","38","0","0","-"
"66","Drew Helleson","ANA","D","33","527.26666666667","2","5","4","1","7","41.18","34","5.88","1.59","94","55","25","5","5","5","29","9","7","1","1","3","24","12","53","59","43","0","0","-"
"79","Albert Johansson","DET","D","39","630.7","1","6","2","4","7","35.00","29","3.45","1.41","83","47","20","0","2","6","12","6","6","0","0","7","36","9","42","73","61","0","0","-"
"80","Cole Schwindt","VGK","R","38","355.56666666667","0","7","2","5","7","50.00","30","0.00","4.2","62","47","37","17","1","10","0","0","0","0","0","8","18","6","36","36","15","101","98","50.75"
"88","Tye Kartye","SEA","L","49","479.91666666667","3","4","1","3","7","50.00","41","7.32","3.56","83","59","52","18","1","5","34","17","17","0","0","20","19","2","146","36","21","3","10","23.08"
"120","Mikael Pyyhtia","CBJ","L","47","568.68333333333","4","3","3","0","7","50.00","32","12.50","2.43","71","44","30","13","5","7","6","3","3","0","0","2","26","9","25","41","39","2","1","66.67"
"127","Daniil Miromanov","CGY","D","37","679.2","1","6","3","3","7","25.00","44","2.27","2.09","122","64","34","8","7","9","12","6","6","0","0","2","36","10","19","51","52","0","0","-"
"2","Anthony Richard","PHI","C","15","185.45","2","4","4","0","6","66.67","19","10.53","1.74","36","31","20","7","1","4","0","0","0","0","0","2","6","3","8","9","8","0","2","0.00"
"11","Jacob Moverare","L.A","D","41","479.66666666667","1","5","0","5","6","30.00","25","4.00","0.91","64","38","16","2","4","9","10","5","5","0","0","1","16","7","25","69","50","0","0","-"
"37","Jakub Lauko","MIN","C","37","372.9","3","3","2","1","6","66.67","28","10.71","2.93","58","46","29","15","4","4","27","9","6","3","0","8","18","5","70","35","21","1","6","14.29"
"57","Brayden Pachal","CGY","D","59","854.71666666667","2","4","3","1","6","27.27","47","4.26","1.57","166","84","36","3","10","16","80","30","25","4","1","20","52","13","130","71","70","0","0","-"
"84","Elmer Soderblom","DET","L","14","177.55","2","4","0","4","6","75.00","21","9.52","3.18","43","35","29","14","1","3","4","2","2","0","0","1","8","1","33","17","5","3","5","37.50"
"139","Colton Dach","CHI","C","17","196.26666666667","2","4","2","2","6","60.00","20","10.00","2.67","33","27","20","13","2","4","10","5","5","0","0","4","9","10","57","18","8","6","5","54.55"
"159","Arber Xhekaj","MTL","D","58","875.53333333333","1","5","2","3","6","22.22","62","1.61","2.68","152","93","32","5","5","13","89","29","22","5","2","14","54","12","152","70","54","0","0","-"
"5","Dennis Gilbert","BUF","D","25","251.75","0","5","1","4","5","45.45","5","0.00","0.22","21","13","8","0","2","4","50","15","10","4","1","10","9","4","52","35","29","0","0","-"
"6","Ryan Shea","PIT","D","27","439.9","2","3","3","0","5","29.41","15","13.33","0.7","52","31","12","0","2","4","6","3","3","0","0","2","27","9","8","38","38","0","0","-"
"35","Nils Lundkvist","DAL","D","39","585.43333333333","0","5","3","2","5","23.81","52","0.00","1.95","145","80","41","3","4","12","20","10","10","0","0","2","31","6","23","74","34","0","0","-"
"45","David Gustafsson","WPG","C","28","250.76666666667","1","4","2","2","5","38.46","25","4.00","2.2","48","37","16","10","1","4","7","2","1","1","0","2","6","2","18","46","17","90","95","48.65"
"60","Kaedan Korczak","VGK","D","22","322.45","0","5","2","3","5","38.46","18","0.00","0.5","42","21","14","0","1","8","0","0","0","0","0","0","19","4","32","31","21","0","0","-"
"86","Marc Del Gaizo","NSH","D","24","383.26666666667","1","4","3","1","5","41.67","39","2.56","2.63","86","55","30","5","2","11","17","7","6","1","0","2","17","11","40","34","30","0","0","-"
"124","Adam Wilsby","NSH","D","23","416.26666666667","1","4","1","3","5","29.41","34","2.94","1.46","76","45","22","7","6","8","6","3","3","0","0","3","24","10","18","42","17","0","0","-"
"36","Jacob Bernard-Docker","OTT","D","25","327.65","1","3","1","2","4","26.67","18","5.56","0.62","55","32","19","1","3","2","4","2","2","0","0","0","9","1","21","41","25","0","0","-"
"38","Jordan Harris","CBJ","D","29","322.31666666667","1","3","2","1","4","44.44","13","7.69","0.49","31","21","6","1","2","4","6","3","3","0","0","4","14","3","19","58","32","0","0","-"
"89","Louis Crevier","CHI","D","24","426.75","3","1","0","1","4","30.77","24","12.50","0.85","56","38","13","2","4","5","10","5","5","0","0","2","26","3","48","47","38","0","0","-"
"96","Tyler Kleven","OTT","D","58","830.35","2","2","2","0","4","16.67","54","3.70","1.63","125","72","24","2","3","5","23","10","9","1","0","11","48","20","69","123","76","0","0","-"
"116","Wyatt Kaiser","CHI","D","37","653.43333333333","2","2","1","1","4","18.18","45","4.44","1.45","90","64","24","0","4","5","14","7","7","0","0","7","40","16","37","74","66","0","0","-"
"118","Rory Kerins","CGY","C","5","61.133333333333","0","4","1","3","4","80.00","3","0.00","1.14","13","8","7","3","1","2","0","0","0","0","0","1","5","0","4","2","2","2","4","33.33"
"121","Matt Rempe","NYR","C","26","200.51666666667","2","2","1","1","4","50.00","18","11.11","2.05","31","27","20","11","2","5","48","14","9","4","1","12","4","4","74","25","5","0","7","0.00"
"136","Aatu Raty","VAN","C","21","199.61666666667","2","2","0","2","4","66.67","14","14.29","0.8","22","17","10","3","0","1","8","4","4","0","0","2","4","1","53","11","4","102","80","56.04"
"157","Zack Ostapchuk","OTT","C","43","401.26666666667","1","3","1","2","4","66.67","20","5.00","2.37","43","35","24","12","0","0","26","10","8","2","0","10","13","7","86","47","11","85","88","49.13"
"3","Parker Wotherspoon","BOS","D","35","627.03333333333","1","2","2","0","3","25.00","29","3.45","1.01","75","45","20","1","3","6","8","4","4","0","0","6","49","11","44","63","47","0","0","-"
"18","Pierre-Olivier Joseph","PIT, STL","D","47","717.28333333333","0","3","2","1","3","15.79","42","0.00","1.62","122","62","27","4","3","13","45","16","14","1","1","6","53","20","36","57","36","0","0","-"
"33","Akil Thomas","L.A","C","23","225.63333333333","1","2","1","1","3","75.00","19","5.26","2.49","32","23","16","10","0","4","7","2","1","1","0","3","4","1","37","29","10","15","23","39.47"
"126","Matthew Kessel","STL","D","27","353.33333333333","0","3","2","1","3","23.08","17","0.00","0.86","54","30","22","4","3","4","10","5","5","0","0","4","30","5","21","28","20","0","0","-"
"129","Walker Duehr","CGY, S.J","R","24","211.28333333333","2","1","1","0","3","75.00","15","13.33","2.14","33","24","16","9","1","1","0","0","0","0","0","0","12","0","49","17","15","1","8","11.11"
"155","Ethan Del Mastro","CHI","D","11","179.21666666667","2","1","1","0","3","42.86","7","28.57","0.4","22","11","7","1","2","3","2","1","1","0","0","2","9","3","18","20","7","0","0","-"
"164","David Jiricek","CBJ, MIN","D","12","145.41666666667","1","2","1","1","3","60.00","9","11.11","0.61","25","16","6","2","3","2","6","3","3","0","0","3","15","3","12","18","7","0","0","-"
"170","Owen Pickering","PIT","D","25","370.38333333333","1","2","0","2","3","33.33","15","6.67","0.49","51","27","12","2","0","6","6","3","3","0","0","2","11","5","13","29","19","0","0","-"
"7","Rodrigo Abols","PHI","C","9","92.816666666667","1","1","1","0","2","50.00","13","7.69","1.82","25","18","13","10","0","3","2","1","1","0","0","1","6","1","10","6","6","25","21","54.35"
"10","Keaton Middleton","COL","D","28","301.16666666667","0","2","1","1","2","20.00","30","0.00","1.21","69","46","15","0","2","4","17","7","6","1","0","2","18","2","50","20","21","0","0","-"
"55","Cole Reinhardt","OTT","L","17","139.43333333333","1","1","1","0","2","50.00","13","7.69","1.24","22","17","17","8","0","0","15","6","5","1","0","2","7","1","37","13","2","1","0","100.00"
"59","John Ludvig","COL","D","8","103.6","0","2","0","2","2","100.00","9","0.00","0.24","13","10","3","1","0","0","6","3","3","0","0","1","5","1","16","8","6","0","0","-"
"81","Valtteri Puustinen","PIT","R","10","98.883333333333","1","1","1","0","2","100.00","6","16.67","0.85","10","8","6","5","0","1","4","2","2","0","0","1","3","3","5","4","5","0","0","-"
"87","Nikita Nesterenko","ANA","C","7","66.866666666667","1","1","1","0","2","100.00","5","20.00","0.73","13","9","7","4","3","0","0","0","0","0","0","0","5","0","16","2","3","0","2","0.00"
"125","Nils Aman","VAN","C","8","84.1","0","2","0","2","2","100.00","4","0.00","0.87","9","6","7","5","0","1","0","0","0","0","0","0","1","0","13","1","0","10","17","37.04"
"128","Alex Steeves","TOR","C","7","69.233333333333","1","1","0","1","2","66.67","7","14.29","0.67","12","11","6","3","0","1","0","0","0","0","0","1","0","0","19","11","1","0","0","-"
"161","Marc McLaughlin","BOS","C","12","110.35","2","0","0","0","2","66.67","13","15.38","1.43","23","18","13","7","4","5","0","0","0","0","0","2","6","2","23","5","6","12","16","42.86"
"1","Joseph LaBate","CBJ","C","4","37.366666666667","0","1","0","1","1","33.33","1","0.00","0.01","2","1","0","0","0","0","5","1","0","1","0","2","1","0","10","3","5","0","2","0.00"
"12","Tanner Laczynski","VGK","C","8","68.8","1","0","0","0","1","100.00","2","50.00","0.88","6","4","4","3","0","0","6","3","3","0","0","1","0","0","3","12","3","16","21","43.24"
"46","Linus Karlsson","VAN","C","9","89.916666666667","1","0","0","0","1","33.33","8","12.50","1.22","12","9","6","5","0","1","0","0","0","0","0","1","1","1","8","15","2","1","1","50.00"
"48","Jack St. Ivany","PIT","D","19","310.98333333333","0","1","0","1","1","14.29","12","0.00","0.38","35","22","8","1","3","2","17","7","6","1","0","5","16","7","38","12","25","0","0","-"
"70","Sam Poulin","PIT","R","6","60.583333333333","0","1","0","1","1","50.00","2","0.00","0.34","8","7","2","1","0","1","2","1","1","0","0","1","7","2","8","9","0","0","0","-"
"83","Mat?j  Blümel","DAL","R","7","59.033333333333","1","0","0","0","1","100.00","10","10.00","1.15","15","12","9","5","2","0","0","0","0","0","0","1","2","1","6","5","1","0","0","-"
"98","Danil Gushchin","S.J","L","10","121.2","0","1","1","0","1","20.00","13","0.00","1.93","33","24","16","11","4","1","6","3","3","0","0","2","1","0","5","7","5","1","0","100.00"
"104","Sam Colangelo","ANA","R","14","155.35","1","0","0","0","1","20.00","18","5.56","2.17","39","30","21","7","2","3","0","0","0","0","0","2","5","0","31","13","8","2","7","22.22"
"117","Isaak Phillips","CHI","D","3","35.683333333333","1","0","0","0","1","50.00","3","33.33","0.04","5","3","0","0","0","0","0","0","0","0","0","0","2","0","3","2","4","0","0","-"
"119","Callahan Burke","VGK","C","7","75.883333333333","1","0","0","0","1","25.00","12","8.33","1.41","17","15","10","4","1","0","2","1","1","0","0","0","3","0","0","8","3","1","0","100.00"
"122","Ilya Solovyov","CGY","D","5","78.35","0","1","1","0","1","100.00","6","0.00","0.06","18","9","3","0","1","2","2","1","1","0","0","1","6","3","12","11","8","0","0","-"
"150","Ryan Winterton","SEA","C","8","82.933333333333","0","1","1","0","1","33.33","8","0.00","0.53","12","8","6","1","0","0","0","0","0","0","0","2","3","0","13","5","4","0","1","0.00"
"158","Tyson Kozak","BUF","C","11","114.55","1","0","0","0","1","50.00","6","16.67","1.7","22","16","14","9","1","4","0","0","0","0","0","1","9","1","11","7","16","38","41","48.10"
"160","Arshdeep Bains","VAN","L","13","136.55","1","0","0","0","1","33.33","8","12.50","1.44","16","12","8","5","1","1","0","0","0","0","0","0","4","1","17","7","7","3","1","75.00"
"162","Owen Beck","MTL","C","10","99.5","0","1","0","1","1","50.00","10","0.00","1.04","17","14","8","4","2","0","0","0","0","0","0","2","8","0","19","20","7","19","14","57.58"
"169","Simon Nemec","N.J","D","14","214.95","0","1","0","1","1","12.50","10","0.00","0.52","28","17","10","0","1","0","6","3","3","0","0","0","9","4","1","8","13","0","0","-"
"172","Matt Savoie","EDM","C","3","36.666666666667","0","1","1","0","1","50.00","3","0.00","0.73","10","7","9","3","0","1","0","0","0","0","0","0","1","0","3","1","1","0","1","0.00"
"175","Lucas Condotta","MTL","L","7","57.416666666667","1","0","0","0","1","50.00","5","20.00","0.51","10","7","7","2","0","0","0","0","0","0","0","0","2","0","10","3","3","17","12","58.62"
"177","Georgii Merkulov","BOS","C","5","66.266666666667","0","1","1","0","1","33.33","6","0.00","0.59","8","7","5","2","1","2","2","1","1","0","0","1","2","1","2","6","5","0","1","0.00"
"179","Adam Klapka","CGY","R","13","106.16666666667","1","0","0","0","1","50.00","16","6.25","1.25","28","23","14","9","2","2","15","6","5","1","0","4","3","2","43","14","11","3","5","37.50"
"4","Guillaume Brisebois","VAN","D","3","47.416666666667","0","0","0","0","0","0.00","2","0.00","0.09","6","5","0","0","0","0","0","0","0","0","0","0","0","1","2","5","4","0","0","-"
"9","Riley Tufte","BOS","L","5","40.4","0","0","0","0","0","-","0","-","0","3","0","1","0","0","0","4","2","2","0","0","1","2","0","6","3","1","1","1","50.00"
"13","Nathan Clurman","PIT","D","1","11.083333333333","0","0","0","0","0","-","4","0.00","0.1","4","4","0","0","0","0","2","1","1","0","0","0","0","0","1","0","0","0","0","-"
"15","Tye Felhaber","COL","L","5","27.583333333333","0","0","0","0","0","-","2","0.00","0.11","4","2","4","1","0","0","0","0","0","0","0","0","0","1","7","3","0","0","0","-"
"16","Shane Bowers","N.J","C","4","33.016666666667","0","0","0","0","0","0.00","2","0.00","0.04","2","2","1","0","0","1","0","0","0","0","0","0","1","1","9","2","1","1","0","100.00"
"22","Olle Lycksell","PHI","R","6","63.35","0","0","0","0","0","-","3","0.00","0.5","10","7","6","2","0","0","0","0","0","0","0","0","3","1","2","3","3","1","1","50.00"
"24","Ben Jones","MIN","C","26","217.93333333333","0","0","0","0","0","0.00","25","0.00","2.42","52","41","23","10","3","4","10","2","0","2","0","4","9","2","51","17","11","12","13","48.00"
"26","Alexander Alexeyev","WSH","D","5","66.1","0","0","0","0","0","0.00","4","0.00","0.08","8","6","1","0","0","1","0","0","0","0","0","0","2","0","6","9","10","0","0","-"
"27","Patrick Giles","FLA","R","9","66.45","0","0","0","0","0","0.00","4","0.00","0.32","6","6","4","1","0","1","0","0","0","0","0","0","5","0","15","6","4","14","33","29.79"
"28","Michael Callahan","BOS","D","11","144.38333333333","0","0","0","0","0","0.00","4","0.00","0.14","13","7","4","0","0","1","0","0","0","0","0","0","8","1","4","13","10","0","0","-"
"32","Grigori Denisenko","VGK","L","1","8.45","0","0","0","0","0","-","0","-","0.08","2","1","0","0","0","0","2","1","1","0","0","0","0","0","5","0","0","0","1","0.00"
"34","Liam Foudy","NYI","C","2","14.9","0","0","0","0","0","-","1","0.00","0.1","3","1","2","1","0","0","0","0","0","0","0","0","0","1","0","3","1","0","0","-"
"39","Jan Jenik","OTT","C","2","15.383333333333","0","0","0","0","0","-","0","-","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","33.33"
"51","Spencer Stastney","NSH","D","8","130.15","0","0","0","0","0","0.00","5","0.00","0.44","15","10","4","1","1","0","0","0","0","0","0","1","10","1","1","10","9","0","0","-"
"53","Angus Crookshank","OTT","L","1","14.066666666667","0","0","0","0","0","0.00","3","0.00","0.34","4","4","2","2","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","0.00"
"54","Rafael Harvey-Pinard","MTL","L","1","8.9","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"62","Raphael Lavoie","VGK","C","8","84.933333333333","0","0","0","0","0","0.00","10","0.00","1.47","25","17","11","7","1","4","2","1","1","0","0","1","3","0","14","9","0","0","2","0.00"
"63","Samuel Bolduc","NYI","D","1","5.9333333333333","0","0","0","0","0","-","0","-","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"69","Ryan Suzuki","CAR","C","2","13.183333333333","0","0","0","0","0","0.00","0","-","0.02","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","3","4","42.86"
"72","Nathan Légaré","N.J","R","3","32.033333333333","0","0","0","0","0","-","3","0.00","0.37","4","3","3","2","0","1","0","0","0","0","0","0","0","0","12","0","1","0","0","-"
"99","Vasily Ponomarev","PIT","C","4","36.866666666667","0","0","0","0","0","-","4","0.00","0.06","7","4","2","0","0","1","2","1","1","0","0","0","2","2","1","6","1","1","4","20.00"
