"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"100","Ozzy Wiesblatt","NSH","C","3","33.483333333333","0","0","0","0","0","0.00","1","0.00","0.16","2","2","2","1","0","0","0","0","0","0","0","1","1","0","5","7","1","0","0","-"
"107","Donovan Sebrango","OTT","D","2","20.616666666667","0","0","0","0","0","-","0","-","0","2","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"140","Oskar Olausson","COL","R","2","13.616666666667","0","0","0","0","0","-","3","0.00","0.1","3","3","2","0","0","0","0","0","0","0","0","0","2","0","1","3","2","0","0","-"
"146","James Malatesta","CBJ","L","2","21.133333333333","0","0","0","0","0","0.00","0","-","0.08","1","1","1","0","0","0","0","0","0","0","0","0","4","1","6","3","1","1","0","100.00"
"148","Brennan Othmann","NYR","L","4","40.8","0","0","0","0","0","0.00","5","0.00","0.62","11","7","6","3","0","1","0","0","0","0","0","0","1","0","7","3","1","0","0","-"
"149","Joshua Roy","MTL","R","4","43.766666666667","0","0","0","0","0","-","3","0.00","0.38","8","7","5","2","1","0","2","1","1","0","0","1","1","1","1","7","1","0","0","-"
"152","Fabian Lysell","BOS","R","1","11.533333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","-"
"153","Isak Rosen","BUF","R","2","18.25","0","0","0","0","0","-","1","0.00","0.01","3","1","1","1","1","0","0","0","0","0","0","0","2","1","0","2","0","0","0","-"
"166","Kevin Korchinski","CHI","D","9","150.96666666667","0","0","0","0","0","0.00","7","0.00","0.32","20","11","7","2","1","0","4","2","2","0","0","1","8","3","1","12","7","0","0","-"
"178","Ben Meyers","SEA","C","7","57.133333333333","0","0","0","0","0","-","3","0.00","0.3","7","3","6","4","0","0","2","1","1","0","0","0","1","1","6","5","1","22","20","52.38"
